
> app_derry@1.0.0 dev
> node scripts/dev-server.js

[dev] Cleared legacy Turbopack cache to keep dev startup lighter.
[dev] Cleared stale Next dev server artifacts to avoid manifest corruption.
[dev] PostgreSQL belum terjangkau di 127.0.0.1:54329/aleta. Jika backend gagal konek, ALETA akan jatuh ke fallback in-memory khusus development.
[dev] Starting Next.js dev server with Webpack and NODE_OPTIONS="--max-old-space-size=2048".
▲ Next.js 16.2.3 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.29.48.1:3000
- Environments: .env.local
✓ Ready in 814ms
[32m✔[0m [33mConsole Ninja[0m extension is connected to [33mNext.js[0m, see [36mhttps://tinyurl.com/2vt8jxzw[0m

○ Compiling /login ...
 GET /login 200 in 2.8s (next.js: 2.5s, application-code: 306ms)
 GET /login 200 in 4.5s (next.js: 3.8s, application-code: 694ms)
 GET /api/auth/get-session 200 in 4.3s (next.js: 3.4s, application-code: 919ms)
 GET /login 200 in 283ms (next.js: 72ms, application-code: 211ms)
 GET /login 200 in 50ms (next.js: 3ms, application-code: 46ms)
 GET /api/auth/get-session 200 in 25ms (next.js: 13ms, application-code: 12ms)
 GET /login 200 in 95ms (next.js: 4ms, application-code: 91ms)
 GET /api/auth/get-session 200 in 1415ms (next.js: 1360ms, application-code: 55ms)
 GET /api/users/lookup?identifier=superadmin 200 in 1845ms (next.js: 1771ms, application-code: 74ms)
 POST /api/auth/sign-in/email 200 in 62ms (next.js: 2ms, application-code: 60ms)
 GET /api/auth/get-session 200 in 1950ms (next.js: 1874ms, application-code: 76ms)
 GET /portal 200 in 2.1s (next.js: 1860ms, application-code: 212ms)
 GET /portal 200 in 60ms (next.js: 3ms, application-code: 57ms)
 GET /portal 200 in 116ms (next.js: 3ms, application-code: 113ms)
 GET /api/settings/whatsapp 200 in 2.6s (next.js: 2.5s, application-code: 133ms)
 GET /api/settings/institution 200 in 2.4s (next.js: 2.2s, application-code: 135ms)
 GET /api/disposisi 200 in 2.6s (next.js: 2.5s, application-code: 151ms)
 GET /api/ai/settings 200 in 2.6s (next.js: 2.5s, application-code: 153ms)
 GET /api/users 200 in 2.8s (next.js: 2.5s, application-code: 288ms)
 GET /api/surat 200 in 2.8s (next.js: 2.5s, application-code: 318ms)
 GET /portal 200 in 179ms (next.js: 66ms, application-code: 113ms)
○ Compiling /api/settings/module-visibility ...
 GET /api/settings/module-visibility 200 in 1055ms (next.js: 993ms, application-code: 62ms)
 GET /api/settings/module-visibility 200 in 1266ms (next.js: 1202ms, application-code: 64ms)
 PUT /api/settings/module-visibility 200 in 47ms (next.js: 1871µs, application-code: 46ms)
 GET /login 200 in 216ms (next.js: 169ms, application-code: 47ms)
 GET /login 200 in 180ms (next.js: 3ms, application-code: 177ms)
 GET /login 200 in 38ms (next.js: 2ms, application-code: 36ms)
 GET /login 200 in 80ms (next.js: 3ms, application-code: 77ms)
 GET /api/auth/get-session 200 in 1098ms (next.js: 1070ms, application-code: 29ms)
 GET /api/auth/get-session 200 in 995ms (next.js: 962ms, application-code: 33ms)
 GET /api/users/lookup?identifier=adminit 200 in 1064ms (next.js: 1011ms, application-code: 52ms)
 POST /api/auth/sign-in/email 200 in 56ms (next.js: 1757µs, application-code: 54ms)
 GET /api/auth/get-session 200 in 2.1s (next.js: 2.1s, application-code: 78ms)
 GET /portal 200 in 2.3s (next.js: 2.1s, application-code: 235ms)
 GET /portal 200 in 69ms (next.js: 4ms, application-code: 65ms)
 GET /portal 200 in 126ms (next.js: 4ms, application-code: 122ms)
 GET /api/settings/whatsapp 200 in 2.9s (next.js: 2.8s, application-code: 95ms)
 GET /api/settings/institution 200 in 2.8s (next.js: 2.7s, application-code: 96ms)
 GET /api/disposisi 200 in 2.9s (next.js: 2.8s, application-code: 106ms)
 GET /api/ai/settings 200 in 2.9s (next.js: 2.8s, application-code: 108ms)
 GET /api/users 200 in 3.0s (next.js: 2.9s, application-code: 134ms)
○ Compiling /api/settings/module-visibility ...
 GET /api/surat 200 in 3.0s (next.js: 2.9s, application-code: 142ms)
 GET /api/settings/module-visibility 200 in 2.1s (next.js: 1992ms, application-code: 73ms)
 GET /portal 200 in 2.1s (next.js: 1960ms, application-code: 94ms)
 GET /api/users 200 in 39ms (next.js: 12ms, application-code: 26ms)
 PATCH /api/users/usr-super 403 in 2.3s (next.js: 2.3s, application-code: 27ms)
 GET /login 200 in 206ms (next.js: 48ms, application-code: 158ms)
 GET /api/auth/get-session 200 in 37ms (next.js: 25ms, application-code: 12ms)
 GET /login 200 in 105ms (next.js: 3ms, application-code: 102ms)
 GET /api/users/lookup?identifier=superadmin 200 in 28ms (next.js: 12ms, application-code: 16ms)
 POST /api/auth/sign-in/email 200 in 46ms (next.js: 2ms, application-code: 44ms)
 GET /portal 200 in 149ms (next.js: 16ms, application-code: 133ms)
 GET /api/auth/get-session 200 in 43ms (next.js: 3ms, application-code: 40ms)
 GET /portal 200 in 93ms (next.js: 3ms, application-code: 90ms)
 GET /portal 200 in 125ms (next.js: 4ms, application-code: 121ms)
 GET /api/disposisi 200 in 73ms (next.js: 12ms, application-code: 61ms)
 GET /api/users 200 in 150ms (next.js: 11ms, application-code: 139ms)
 GET /api/surat 200 in 172ms (next.js: 20ms, application-code: 152ms)
 GET /api/ai/settings 200 in 131ms (next.js: 19ms, application-code: 112ms)
 GET /api/settings/whatsapp 200 in 103ms (next.js: 13ms, application-code: 91ms)
 GET /api/auth/get-session 200 in 10ms (next.js: 3ms, application-code: 8ms)
 GET /api/settings/institution 200 in 95ms (next.js: 12ms, application-code: 83ms)
 GET /api/settings/module-visibility 200 in 121ms (next.js: 8ms, application-code: 112ms)
 GET /portal 200 in 76ms (next.js: 4ms, application-code: 72ms)
 GET /api/ai/settings 200 in 18ms (next.js: 2ms, application-code: 16ms)
 GET /api/settings/whatsapp 200 in 16ms (next.js: 1998µs, application-code: 14ms)
 GET /login 200 in 44ms (next.js: 2ms, application-code: 41ms)
 GET /api/auth/get-session 200 in 18ms (next.js: 12ms, application-code: 6ms)
 GET /api/users/lookup?identifier=superadmin 200 in 19ms (next.js: 2ms, application-code: 16ms)
 POST /api/auth/sign-in/email 200 in 41ms (next.js: 1870µs, application-code: 39ms)
 GET /portal 200 in 142ms (next.js: 5ms, application-code: 137ms)
 GET /api/auth/get-session 200 in 42ms (next.js: 2ms, application-code: 39ms)
 GET /portal 200 in 97ms (next.js: 4ms, application-code: 93ms)
 GET /portal 200 in 65ms (next.js: 4ms, application-code: 61ms)
 GET /api/disposisi 200 in 55ms (next.js: 1947µs, application-code: 53ms)
 GET /api/users 200 in 69ms (next.js: 3ms, application-code: 66ms)
 GET /api/surat 200 in 87ms (next.js: 1844µs, application-code: 85ms)
 GET /api/ai/settings 200 in 47ms (next.js: 1790µs, application-code: 45ms)
 GET /api/settings/whatsapp 200 in 77ms (next.js: 2ms, application-code: 75ms)
 GET /api/settings/institution 200 in 74ms (next.js: 1643µs, application-code: 72ms)
 GET /api/settings/module-visibility 200 in 84ms (next.js: 1730µs, application-code: 82ms)
 GET /portal 200 in 68ms (next.js: 6ms, application-code: 62ms)
 GET /manajemen-surat 200 in 2.5s (next.js: 2.1s, application-code: 373ms)
 GET /api/settings/whatsapp 200 in 117ms (next.js: 9ms, application-code: 108ms)
 GET /api/disposisi 200 in 158ms (next.js: 10ms, application-code: 148ms)
 GET /api/ai/settings 200 in 147ms (next.js: 15ms, application-code: 132ms)
 GET /api/auth/get-session 200 in 58ms (next.js: 13ms, application-code: 45ms)
 GET /api/users 200 in 234ms (next.js: 18ms, application-code: 216ms)
 GET /api/surat 200 in 229ms (next.js: 16ms, application-code: 213ms)
 GET /api/settings/institution 200 in 56ms (next.js: 11ms, application-code: 45ms)
 GET /api/settings/module-visibility 200 in 40ms (next.js: 4ms, application-code: 36ms)
 GET /login 200 in 364ms (next.js: 15ms, application-code: 349ms)
